Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,HomeLineScores[0],HomeLineScores[1],HomeLineScores[2],HomeLineScores[3],HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,,,awayLeagueId,homeLeagueId
282432116,2008,1,regular,2008-08-30T22:06:00.000Z,FALSE,TRUE,FALSE,FALSE,42126,3652,FBC Mortgage Stadium,2116,UCF,fbs,Conference USA,17,0,7,0,10,,,,2569,South Carolina State,fcs,MEAC,0,0,0,0,0,,,,,,,,,1,#N/A
282432348,2008,1,regular,2008-08-30T22:45:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3776,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Western Athletic,22,3,6,10,3,,1223,1254,344,Mississippi State,fbs,SEC,14,7,7,0,0,,1503,1472,,,,,,1,#N/A
282430248,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,26555,453,Robertson Stadium,248,Houston,fbs,Conference USA,55,7,31,10,7,,,,2582,Southern,fcs,SWAC,3,0,3,0,0,,,,,,,,,1,#N/A
282430201,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,84715,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,Big 12,57,27,23,7,0,,,,236,Chattanooga,fcs,Southern,2,0,0,2,0,,,,,,,,,1,#N/A
282432641,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,49887,3784,Jones AT&T Stadium,2641,Texas Tech,fbs,Big 12,49,20,8,7,14,,,,331,Eastern Washington,fcs,Big Sky,24,0,17,7,0,,,,,,,,,1,#N/A
282430058,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,48058,3886,Raymond James Stadium,58,South Florida,fbs,Big East,56,28,7,7,14,,,,2630,UT Martin,fcs,OVC,7,0,0,7,0,,,,,,,,,1,#N/A
282430008,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,70537,3887,Razorback Stadium,8,Arkansas,fbs,SEC,28,0,7,7,14,,,,2710,Western Illinois,fcs,MVFC,24,3,7,7,7,,,,,,,,,1,#N/A
282432542,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3952,Ted Wright Stadium,2542,Savannah St,fcs,FCS Independents,7,0,0,0,7,,,,294,Jacksonville,fcs,Pioneer,20,0,0,17,3,,,,,,,,,8,#N/A
282432747,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3737,Gibbs Stadium,2747,Wofford,fcs,Southern,38,7,17,7,7,,,,2506,Presbyterian,fcs,FCS Independents,21,14,0,0,7,,,,,,,,,8,#N/A
282430150,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,32571,3982,Wallace Wade Stadium,150,Duke,fbs,ACC,31,7,7,17,0,,1277,1355,256,James Madison,fcs,CAA,7,7,0,0,0,,1429,1351,,,,,,1,#N/A
282432029,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3740,Golden Lion Stadium,2029,Arkansas-Pine Bluff,fcs,SWAC,7,0,0,7,0,,,,2028,Arkansas-Monticello,,,21,7,7,0,7,,,,,,,,,8,#N/A
282430145,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,56127,3974,Vaught-Hemingway Stadium,145,Ole Miss,fbs,SEC,41,14,13,7,7,,1408,1437,235,Memphis,fbs,Conference USA,24,7,3,0,14,,1326,1297,,,,,,1,#N/A
282430135,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,44029,,,135,Minnesota,fbs,Big Ten,31,7,3,14,7,,1442,1440,2459,Northern Illinois,fbs,Mid-American,27,0,10,10,7,,1274,1276,,,,,,1,#N/A
282430158,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,84485,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big 12,47,14,20,10,3,,1550,1591,2711,Western Michigan,fbs,Mid-American,24,0,10,7,7,,1403,1362,,,,,,1,#N/A
282432572,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,32792,3815,M. M. Roberts Stadium,2572,Southern Miss,fbs,Conference USA,51,14,20,10,7,,1516,1563,309,Louisiana,fbs,Sun Belt,21,0,14,0,7,,1239,1192,,,,,,1,#N/A
282430326,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,TRUE,FALSE,,3643,Bobcat Stadium,326,Texas State,fcs,Southland,21,7,0,0,14,,,,2025,Angelo State,,,14,0,7,7,0,,,,,,,,,8,#N/A
282432466,2008,1,regular,2008-08-30T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,,3963,Harry Turpin Stadium,2466,Northwestern State,fcs,Southland,30,7,10,7,6,,,,2837,East Texas A&M,,,14,0,7,7,0,,,,,,,,,8,#N/A
